video_id,title,channel_title,views,likes,dislikes,ratings_disabled,latest_trend_year,latest_trend_month,latest_trend_day,num_trend_days
9NC2saE5MbQ,Camels vs. Cactus!!!   جمل,camelsandfriends,5985284,33243.0,4899.0,False,2018,6,14,21
9Szts88zY4o,Solo: A Star Wars Story Big Game TV Spot (:45),Star Wars,2580817,74716.0,4678.0,False,2018,2,5,1
9TUBf6l7FBg,Coachella 2018 LIVE Channel 1,Coachella,24004779,,,True,2018,4,16,3
9jRtpMKLsts,"Pokémon: Let's Go, Pikachu! and Pokémon: Let's Go, Eevee! Trailer",The Official Pokémon YouTube channel,9992803,230507.0,24911.0,False,2018,6,14,15
9m9oO84Q2fk,Giant Darts Battle | Dude Perfect,Dude Perfect,16371326,408367.0,10101.0,False,2018,6,5,14
9oyKePWRi8Y,Best of 2017 | Dude Perfect,Dude Perfect,8930421,360921.0,3798.0,False,2018,1,5,9
9sRQQRiltrE,BTS Get Scared by a Fangirl,TheEllenShow,4005642,194147.0,4453.0,False,2018,5,30,5
9t9u_yPEidY,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,17679753,248909.0,21039.0,False,2017,11,17,4
9v_rtaye2yY,"Migos, Nicki Minaj, Cardi B - MotorSport (Official)",MigosVEVO,23575103,548457.0,29977.0,False,2017,12,15,7
9wg3v-01yKQ,Harry Styles - Kiwi,HarryStylesVEVO,9632678,810895.0,16139.0,False,2017,11,14,1
A0FZIwabctw,Falcon Heavy & Starman,SpaceX,3291206,124998.0,1555.0,False,2018,3,25,15
A8HLnDP6uRM,Visit with Santa Cold Open - SNL,Saturday Night Live,2935898,28777.0,4642.0,False,2017,12,17,7
A9YcrloL3oE,Jack,Unbox Therapy,3611833,277570.0,8522.0,False,2018,2,28,7
AP14dJZzKkA,Woman Tries to Get a Free Ride,Ryan Is Driving,3845553,133530.0,3363.0,False,2018,3,1,6
AiH3nDqWr9I,Film Theory: Phineas and Ferb's SECRET Hero!,The Film Theorists,8999134,147103.0,7099.0,False,2018,2,16,9
AiyZ92_JZxA,Morning Joe Michael Wolff Cold Open - SNL,Saturday Night Live,4297582,32196.0,3803.0,False,2018,1,20,6
Am6NHDbj6XA,Donald Glover on This is America Music Video,Jimmy Kimmel Live,6492425,105915.0,14429.0,False,2018,5,20,8
AshvBTw5Z84,Homemade Hydraulic Hulkbuster,colinfurze,2651325,89452.0,1550.0,False,2018,5,25,20
AtCLwYFRp4o,Hair Stylists React to Trump’s Hair Flapping in the Wind,Jimmy Kimmel Live,3153075,36305.0,7245.0,False,2018,2,13,5
BC19fhyTG_M,EXO 'Electric Kiss' MV -Short Ver.-,SMTOWN,6217292,635452.0,10339.0,False,2017,12,11,6
BIQK4-9YFW0,Five Finger Death Punch - Gone Away (Official Video),5FDPVEVO,3953945,110060.0,3831.0,False,2018,1,3,12
BPmAxzEJpWA,Snoop Dogg - One More Day (feat. Charlie Wilson) ft. Charlie Wilson,SnoopDoggVEVO,2714802,39153.0,2691.0,False,2018,4,19,11
BQ31l1gPGKM,J. Balvin - Ahora,jbalvinVEVO,19177871,356298.0,12457.0,False,2018,3,1,4
BQ_0QLL2gqI,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, watt",HaileeSteinfeldVEVO,8076063,214451.0,2661.0,False,2017,11,26,9
BhIEIO0vaBE,To Our Daughter,Kylie Jenner,56111957,,,True,2018,2,14,10
Bhplg8YCu-M,Distraught father of 3 victims tries to physically attack Larry Nassar in courtroom,MLive,2666775,30949.0,2791.0,False,2018,2,10,7
Biex1XR_mpo,50 Mums | 50 Kids | 1 Extra Chromosome,Wouldn't Change a Thing,3602906,54034.0,461.0,False,2018,3,31,10
BjRNY3u3bUw,Blumhouse's Truth or Dare - Official Trailer [HD],Universal Pictures,5053825,14222.0,1490.0,False,2018,1,9,6
Bm8rz-llMhE,"Calvin Harris, Dua Lipa - One Kiss (Lyric Video)",CalvinHarrisVEVO,30061253,510475.0,15489.0,False,2018,4,24,12
Bs-Hr-gEJAU,Shawn Mendes - Youth (Lyric Video) ft. Khalid,ShawnMendesVEVO,32079687,867305.0,7688.0,False,2018,5,23,19
BspHjvU11y4,Kelly Clarkson - Meaning of Life [Official Video],Kelly Clarkson,2421584,49501.0,1163.0,False,2018,6,9,27
BtvRaMPJWLs,Super Smash Bros - Trailer Analysis,videogamedunkey,3962616,219928.0,6998.0,False,2018,3,24,14
ByeyFfOHgQA,Film Theory: Black Panther's Economic CRISIS!,The Film Theorists,2579421,91743.0,9507.0,False,2018,2,28,7
C-rumHvmqCA,T-Mobile | #LittleOnes | 2018 Big Game Ad,T-Mobile,15045586,,,True,2018,2,13,9
C6SZa5U8sIg,Voldemort: Origins of the Heir - An unofficial fanfilm (HD + Subtitles),TRYANGLE FILMS,10083696,430160.0,18357.0,False,2018,1,20,6
CG9yQ8PXf6o,Carrie Underwood - Cry Pretty (Official Lyric Video),Carrie Underwood,4409293,38910.0,2325.0,False,2018,4,29,16
